song,artist,cluster
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, Afrojack, Bebe Rexha, Nicki Minaj",1
Poker Face,Lady Gaga,0
Stronger,Kanye West,0
Tacatà - Radio Edit,Tacabro,1
Payphone - Cutmore Remix,"Maroon 5, Wiz Khalifa",1
"Back in Time - featured in ""Men In Black 3""",Pitbull,1
Back 2 Life (Live It Up) (feat. T.I.),"Sean Kingston, T.I.",1
Anywhere in the World - Radio Edit,"Mark Ronson, Katy B",0
Marilyn Monroe,Nicki Minaj,1
TTYLXOX,Bella Thorne,1
As Long As You Love Me,"Justin Bieber, Big Sean",0
Ready For Love,Cascada,0
Summer of Love,Cascada,1
Don't Wake Me Up,Chris Brown,1
Sick Of You,Selena Gomez & The Scene,1
Best Thing I Never Had,Beyoncé,1
This Is Love,"will.i.am, Eva Simons",0
#thatPOWER,"will.i.am, Justin Bieber",0
Without You (feat. Usher),"David Guetta, Usher",1
Kill Em With Kindness,Selena Gomez,0
The Girl (feat. Cozi Zuehlsdorff),"Hellberg, Cozi Zuehlsdorff",0
Propaganda,DJ Snake,2
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",0
Lifetime (feat. Kyler England),"Yellow Claw, Tiësto, Kyler England",1
Machi,"Borgeous, Ryos",1
No Place Like Home (feat. Rosette) - Radio Edit,"Blasterjaxx, Rosette",0
Stressed Out,Twenty One Pilots,0
Make It Home - Radio Edit,"Mike Candys, Clyde Taylor",2
Memories - Radio Edit,"KSHMR, Bassjackers, Sirah",0
When I Look At You,Miley Cyrus,1
Alien,Britney Spears,1
Unusual You,Britney Spears,0
Beautiful Pain,"Eminem, Sia",4
When I'm Gone,Eminem,4
Anna mä meen (feat. Jonne Aaron),"Cheek, Jonne Aaron",0
Because of You,Kelly Clarkson,0
Me ei olla enää me,SANNI,1
Just A Dream,Nelly,1
Crying for No Reason,Katy B,0
Cool Kids,Echosmith,1
A Sky Full of Stars,Coldplay,1
The One That Got Away,Katy Perry,0
Fix You,Coldplay,3
Lohtu,"Live Aid Uusi Lastensairaala 2017, Cheek, Jari Sillanpää, Jenni Vartiainen, Jesse Kaikuranta, Johanna Kurkela, Jorma Uotinen, Juha Tapio, Lauri Tähkä, Lilli Paasikivi, Matti Salminen, Pekka Kuusisto, Peter Franzen, Riki Sorsa, Samu Haber, Samuli Edelmann, Tuomas Holopainen, Lauri Ylönen",0
Koska Sä Eroot,Nikke Ankara,1
Päästä mut pois,"Mikael Gabriel, Diandra",0
Can You See Me?,Krista Siegfrids,3
Prinsessoja & astronautteja,SANNI,0
Broken Ones,Jacquie,0
Mockingbird,Eminem,4
Night Changes,One Direction,3
Skyscraper,Demi Lovato,1
Breathe Me,Sia,2
Viimeisen kerran,"Mikael Gabriel, Diandra",0
Young And Beautiful,Lana Del Rey,3
Sun särkyä anna mä en,Johanna Kurkela,3
Invisible,Skylar Grey,1
Skinny Love,Birdy,3
Complicated,Avril Lavigne,1
Turning Tables,Adele,3
Next to Me,Otto Knows,3
You,Galantis,0
Where Are Ü Now (with Justin Bieber),"Jack Ü, Skrillex, Diplo, Justin Bieber",0
Take Ü There (feat. Kiesza),"Jack Ü, Skrillex, Diplo, Kiesza",0
Stole the Show,"Kygo, Parson James",0
Need You Right Now (feat. Mike Tompkins),"Bethany Mota, Mike Tompkins",1
Old Thing Back (feat. Ja Rule and Ralph Tresvant),"Matoma, The Notorious B.I.G., Ja Rule, Ralph Tresvant",1
I'm Gonna Show You Crazy,Bebe Rexha,1
Samsara 2015,"Tungevaag, Emila",0
Firestone,"Kygo, Conrad Sewell",3
Freedom,"Afrojack, D-wayne, Jack McManus",1
Born to Make You Happy,Britney Spears,1
Judas,Lady Gaga,0
Alejandro,Lady Gaga,0
LoveGame,Lady Gaga,0
Starstruck,"Lady Gaga, Space Cowboy, Flo Rida",0
This Is How We Do,Katy Perry,0
Dark Horse,"Katy Perry, Juicy J",1
Teenage Dream,Katy Perry,1
Part Of Me,Katy Perry,1
Wide Awake,Katy Perry,1
Dark Side,Kelly Clarkson,1
Smile,Avril Lavigne,0
Hot,Avril Lavigne,1
F**kin' Perfect,P!nk,1
Cheers (Drink To That),Rihanna,1
ROCKSTAR 101,"Rihanna, Slash",1
Russian Roulette,Rihanna,0
Best Thing I Never Had,Beyoncé,1
Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",0
Baby Don't Lie,Gwen Stefani,0
Automatic,Nicki Minaj,1
Who Says,Selena Gomez & The Scene,0
Remember December,Demi Lovato,1
Who Owns My Heart,Miley Cyrus,0
Better Than I Know Myself,Adam Lambert,1
Love Me,Justin Bieber,1
Rain Over Me (feat. Marc Anthony),"Pitbull, Marc Anthony",1
Me And My Broken Heart,Rixton,0
Magic,Coldplay,2
The Way,"Ariana Grande, Mac Miller",0
If We Ever Meet Again,"Timbaland, Katy Perry",1
Save The World - Extended Mix,Swedish House Mafia,1
This Is What You Came For (feat. Rihanna),"Calvin Harris, Rihanna",0
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",1
Starships,Nicki Minaj,0
Die Young,Kesha,0
Airplanes (feat. Hayley Williams),"B.o.B, Hayley Williams",0
Animals,Maroon 5,0
Hangover,"Taio Cruz, Flo Rida",1
Demons,Imagine Dragons,1
Replay,Iyaz,1
Wild Ones (feat. Sia),"Flo Rida, Sia",0
Payphone,"Maroon 5, Wiz Khalifa",1
Am I Wrong,Nico & Vinz,1
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",1
Summer,Calvin Harris,0
TiK ToK,Kesha,0
Good Feeling,Flo Rida,0
One More Night,Maroon 5,0
Mirrors,Justin Timberlake,0
All I Wanna Do,Martin Jensen,1
Kill Em With Kindness,Selena Gomez,0
Make Me... (feat. G-Eazy) (feat. G-Eazy),"Britney Spears, G-Eazy",0
Right Round,Flo Rida,1
Please Don't Leave Me,P!nk,1
Misery,Maroon 5,0
Unconditionally,Katy Perry,1
I Wanna Go,Britney Spears,1
Hold It Against Me,Britney Spears,0
Criminal,Britney Spears,1
Radar,Britney Spears,0
Only Girl (In The World),Rihanna,0
What's My Name?,"Rihanna, Drake",1
Snadi,Roope Salminen & Koirat,0
Terassilta lentoon (feat. Mäkki),"HesaÄijä, Mäkki",0
#SELFIE,The Chainsmokers,1
Red Lights,Tiësto,1
Paradise,Coldplay,1
Can't Believe It (feat. Pitbull),"Flo Rida, Pitbull",1
Ladykiller,Maroon 5,1
Slow Down,Selena Gomez,0
Burn,Ellie Goulding,1
Wicked Wonderland,Tungevaag,0
Until The End - Monday 2 Friday Radio Edit,Master Blaster,2
Juomalaulu,"Spekti, Tasis",0
Cream - Radio Edit,"Tujamo, Danny Avila",2
I Found Your Heart,"DubVision, Emeni",1
Pegasus,Protoculture,2
Unicorn Zombie Apocalypse - Original Mix,"Borgore, Sikdope",2
Wildfire - Radio Edit,Borgeous,0
Welcome to the Dancefloor - Video Edit,ItaloBrothers,0
Stamp on the Ground - Radio Edit,ItaloBrothers,0
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",0
Hanat Auki,"Lord Est, Spekti",1
Madafakin darra (feat. Ida Paul),"Roope Salminen & Koirat, Ida Paul",0
Macho Fantastico,"Spekti, Tasis",0
I'm an Albatraoz,AronChupa,4
Bad (feat. Vassy) - Radio Edit,"David Guetta, Showtek, VASSY",0
Wasted,"Tiësto, Matthew Koma",1
Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",1
Rahaa palaa feat. Uniikki,Kristal,0
Levels - Radio Edit,Avicii,2
This Is Nightlife - Video Edit,ItaloBrothers,0
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars",1
How We Party,"R3HAB, VINAI",1
Party All Night (Sleep All Day),Sean Kingston,0
Nallipyssy (Weekend Festival 2014 Anthem),"Heavyweight, Spekti",1
Holiday (feat. Akon) - DJ Antoine vs Mad Mark 2k15 Radio Edit,"DJ Antoine, Akon, CALVO",1
Happy Little Pill,Troye Sivan,0
Controlla,Drake,4
I Need A Doctor,"Dr. Dre, Eminem, Skylar Grey",4
Say Something,"A Great Big World, Christina Aguilera",3
On The Floor - Radio Edit,"Jennifer Lopez, Pitbull",1
Boom Boom Pow,Black Eyed Peas,1
Drive By,Train,0
Temperature,Sean Paul,0
SOS,Rihanna,1
U + Ur Hand,P!nk,1
Sober,P!nk,1
Say It Right - Main,Nelly Furtado,1
Maneater,Nelly Furtado,1
All Good Things (Come To An End),Nelly Furtado,0
4 Minutes (feat. Justin Timberlake and Timbaland),"Madonna, Justin Timberlake, Timbaland",1
So Yesterday,Hilary Duff,1
The Sweet Escape,"Gwen Stefani, Akon",1
Candy Shop,"50 Cent, Olivia",4
Whataya Want from Me,Adam Lambert,0
For Your Entertainment,Adam Lambert,1
Like a Prayer,Madonna,1
Celebration,Madonna,0
The Way I Are,"Timbaland, Keri Hilson, D.O.E.",2
Bad Romance,Lady Gaga,1
The Monster,"Eminem, Rihanna",1
Scream & Shout,"will.i.am, Britney Spears",1
Do What U Want,"Lady Gaga, R. Kelly",1
Euphoria - Single Version,Loreen,0
Glad You Came,The Wanted,0
Yee - Original Mix,Deorro,2
The Bell - Radio Mix,Dirty Disco Youth,2
Boneless,"Steve Aoki, Chris Lake, Tujamo",2
Call Me A Spaceman - Radio Edit,"Hardwell, Mitch Crown",0
Lights - Single Version,Ellie Goulding,0
Work Bitch,Britney Spears,1
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,0
Beautiful Day,U2,0
Pakastin,Mäkki,4
Desibelii (feat. Sharon),"ILARI, Sharon",0
Bae,Heikki Kuula,1
Do You Wanna Fuck,Byz,0
Mahtuuko kyytiin?,Gasellit,1
Isol kirkol,TIPPA,0
Can't Feel My Face - Martin Garrix Remix,"The Weeknd, Martin Garrix",0
Divine Sorrow,"Wyclef Jean, Avicii",1
We Are Forever - feat. Jonny Rose,Jeremy Folderol,0
Apollo - Radio Edit,"Hardwell, Amba Shepherd",1
Faith - Radio Edit,Blasterjaxx,1
Take Me Higher (R3hab Remix),Nytrix,1
Famous,Kanye West,1
Lionheart (feat. The Royalties STHLM) - Jenaux Radio Edit,"Marcus Schössow, The Royalties STHLM",0
Ah Yeah So What - Radio Edit,"Will Sparks, Wiley, Elen Levon",2
Angel,"DVBBS, Dante Leon",0
Body Talk (feat. Julian Perretta) - Radio Edit,"Dimitri Vegas & Like Mike, Moguai",4
Bonfire,Knife Party,1
Bouncybob (feat. Justin Mylo & Mesto),"Martin Garrix, Justin Mylo, Mesto",2
Break Through The Silence - Original Mix,"Martin Garrix, Matisse & Sadko",1
Can't Go Home (feat. Adam Lambert) - Radio Edit,"Steve Aoki, Felix Jaehn, Adam Lambert",1
Flashlight - Original Edit,"R3HAB, Deorro",2
Helicopter - Original Edit,"Martin Garrix, Firebeatz",1
Higher Place (feat. Ne-Yo),"Dimitri Vegas & Like Mike, Ne-Yo",1
Letting Go - Radio Version,"Da Tweekaz, Elke Diels",0
Xception - Original Mix,"Starkillers, DJ BL3ND",2
Pyramids - Radio Mix,"DVBBS, Dropgun, Sanjin",1
This Is Dirty - Original Mix,"DVBBS, MOTi",2
Raveheart - Original Mix,DVBBS,1
White Clouds - MOGUAI Remix,"DVBBS, Moguai",0
Voodoo - Original Mix,"DVBBS, Jay Hardway",0
We Were Young - Original Mix,DVBBS,1
Tsunami (Jump) - Radio Edit,"DVBBS, Borgeous, Tinie Tempah",0
Raveology - Original Edit,"DVBBS, VINAI",2
Moment 4 Life,"Nicki Minaj, Drake",4
Fly,"Nicki Minaj, Rihanna",1
Cold Water (feat. Justin Bieber & MØ),"Major Lazer, Justin Bieber, MØ",0
Break Your Heart,Taio Cruz,1
U + Ur Hand,P!nk,1
Africa - Radio Version,"BACALL, Malo",1
Spaceships,AREA21,0
Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix,"Afrojack, Thirty Seconds To Mars",1
Young Hearts (The Chainsmokers Remix),Strange Talk,1
Here Tonight,"Dash Berlin, Jay Cosmic, Collin McLoughlin",0
Belong,"Axwell, Shapov",2
Generation Party - Hands Up Radio Edit,ItaloBrothers,0
Back 2 U (feat. WALK THE MOON),"Steve Aoki, Boehm, WALK THE MOON",1
Let Me Hold You (Turn Me On),"Dante Klein, Cheat Codes",0
Red Dress,MAGIC!,1
Liar,Britney Spears,0
Love Me Down,Britney Spears,0
Clumsy,Britney Spears,0
Just Luv Me,Britney Spears,3
Faijas (feat. Lucas),"Arttu Lindeman, Lucas",1
Keep It Mello (feat. Omar LinX),"Omar LinX, Marshmello",1
Tänään Lähdetään,Mandi,1
Nahkatakkinen tyttö,Dingo,1
Autiotalo,Dingo,1
Kato mua silmiin,Reino Nordin,0
You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",0
3,Britney Spears,0
Clumsy,Britney Spears,0
Rakastuin mä looseriin,Nylon Beat,1
History,One Direction,1
Never Be Like You,"Flume, kai",3
All of Me - Tiësto's Birthday Treatment Remix - Radio Edit,"John Legend, Jason Agel, Tiësto",0
Sweet Nothing (feat. Florence Welch),"Calvin Harris, Florence Welch",0
Grow Up,Olly Murs,1
Lumi Teki Enkelin Eteiseen - Vain Elämää Kausi 5,Mikael Gabriel,4
Donald Trump,Mac Miller,0
My Favorite Part,"Mac Miller, Ariana Grande",3
Nervous (The Ooh Song) - Mark McCabe Remix,"Gavin James, Mark McCabe",1
There For Me,"iSHi, Shenie Fogo",0
Life Ain't Easy,Mac Miller,0
Weekend (feat. Miguel),"Mac Miller, Miguel",3
Diamonds & Gold,Mac Miller,4
Jumpshot,Dawin,0
ROW,Smith & Thell,1
1000 Nights,FRENSHIP,0
Don't Wanna Know,"Maroon 5, Kendrick Lamar",1
Higher Love,Alex Vargas,3
Numb / Encore,"JAY-Z, Linkin Park",1
Pass Out,Tinie Tempah,1
Real Friends,Kanye West,4
Jump Out the Face (feat. Future),"Meek Mill, Future",1
We Dem Boyz,Wiz Khalifa,1
Gucci Snakes,"Tyga, Desiigner",4
For Free,"DJ Khaled, Drake",4
Love Suicide (feat. Ester Dean),"Tinie Tempah, Ester Dean",1
Trust Nobody,"Cashmere Cat, Selena Gomez, Tory Lanez",0
Kontti,Eldis,1
Faija Käyttää Napapaitaa,Vesterinen yhtyeineen,1
"Still Falling For You - From ""Bridget Jones's Baby""",Ellie Goulding,3
Menee tunteisiin,Arttu Lindeman,1
Dang! (feat. Anderson .Paak),"Mac Miller, Anderson .Paak",4
All Around The World,Mac Miller,1
Love Myself,Hailee Steinfeld,0
Revolveri (Luokkakokous 2 - Polttarit),"JVG, Elias Gould, MGI",0
Blue (Da Ba Dee) - Sound of Legend Version Edit,Sound Of Legend,0
Black Beatles,"Rae Sremmurd, Gucci Mane",1
Can't Have (feat. Steven A. Clark & Ape Drums),"Pitbull, Steven A. Clark, Ape Drums",0
Inside the Lines,"Mike Perry, Casso",1
Daylight (With You),"Yves V, Dimitri Vangelis & Wyman",0
"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)","Cash Cash, Busta Rhymes, B.o.B, Neon Hitch",0
Money On Me,"Møtions, Michael Schulte",1
Now and Later,Sage The Gemini,0
The Other Side,Jason Derulo,1
Chasing The Sun,The Wanted,0
We'll Be Coming Back (feat. Example),"Calvin Harris, Example",1
(Everything I Do) I Do It For You,Bryan Adams,3
I'll Be Missing You (feat. 112),"Diddy, Faith Evans, 112",1
Hirviö,Mikael Gabriel,1
Tykkään susta niin että halkeen,Juha Tapio,0
Freaky Like Me (feat. Ameerah),"Madcon, Ameerah",1
Clarity,"Zedd, Foxes",1
Spectrum,"Zedd, Matthew Koma",0
Welcome to My Life,Simple Plan,1
Huuda,Juju,3
Bonfire Heart,James Blunt,1
1973,James Blunt,1
Nobody's Perfect,Jessie J,0
"Sorry, Blame It On Me",Akon,4
I Just Had Sex,"The Lonely Island, Akon",1
Heart Skips a Beat (feat. Rizzle Kicks),"Olly Murs, Rizzle Kicks",1
Believe,Justin Bieber,1
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",1
Vi sitter i Ventrilo och Spelar DotA,Basshunter,1
FF,kent,0
Samurai - Tiësto Remix,R3HAB,2
Suddenly I See,KT Tunstall,1
I Gotta Feeling,Black Eyed Peas,1
TiK ToK,Kesha,0
Fire Burning,Sean Kingston,1
Whatcha Say,Jason Derulo,1
#SELFIE - Original Mix,The Chainsmokers,1
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,3
Keltainen,Aikakone,1
Minä (feat. Mariska),"Kymppilinja, Mariska",0
Puhuva Kone,Puhuva Kone,0
Beibi älä vonkaa,Aamupojat,0
"Determinate - From ""Lemonade Mouth""","Adam Hicks, Bridgit Mendler, Naomi Scott, Hayley Kiyoko",0
Let's Be Friends,Emily Osment,0
I Will Never Let You Down,Rita Ora,1
Levoton Tuhkimo,Dingo,1
Story of My Life,One Direction,1
I Would Like,Zara Larsson,0
Solo Dance,Martin Jensen,1
Dying for You (feat. Alex Aris) - Radio Edit,"Otto Knows, Lindsey Stirling, Alex Aris",3
Better in Time,Leona Lewis,1
Some Die Young,Laleh,1
Who You Are,Jessie J,0
Come Follow,"Sunnery James & Ryan Marciano, KiFi",1
Stay,Hurts,1
Silhouettes - Original Radio Edit,Avicii,0
Second Soul,Disco Ensemble,0
Love Will Remember,Selena Gomez,0
I Got U,"Duke Dumont, Jax Jones",1
The Spark,"Afrojack, Spree Wilson",1
Stay High - Habits Remix,"Tove Lo, Hippie Sabotage",2
Daylight,Maroon 5,1
Lucky Strike,Maroon 5,0
The Man Who Never Lied,Maroon 5,1
Love Somebody,Maroon 5,1
Ladykiller,Maroon 5,1
Fortune Teller,Maroon 5,0
Sad,Maroon 5,3
Tickets,Maroon 5,0
Doin’ Dirt,Maroon 5,0
Beautiful Goodbye,Maroon 5,1
Wipe Your Eyes,Maroon 5,0
Wasted Years,Maroon 5,1
Supernaiset,Kaija Koo,1
Shower,Becky G,1
Nobody To Love - Radio Edit,Sigma,1
Changes,"Faul & Wad Ad, PNAU",2
Who's That Boy,"Demi Lovato, DEV",1
Not Like That,Ashley Tisdale,1
"It's Alright, It's OK",Ashley Tisdale,0
Hot Right Now - Radio Edit,"DJ Fresh, Rita Ora",0
Da Bop,WTF!,0
Pandora 2012 - Video Edit,ItaloBrothers,1
Addicted To You - Radio Version,Shakira,0
Balada - Ao Vivo,Gusttavo Lima,0
Right Now,"Rihanna, David Guetta",0
Diamonds,Rihanna,0
Stay,"Rihanna, Mikky Ekko",3
You Da One,Rihanna,0
Where Have You Been,Rihanna,0
Talk That Talk,"Rihanna, JAY-Z",1
Man Down,Rihanna,0
Rude Boy,Rihanna,1
Shut Up And Drive,Rihanna,1
Rehab,Rihanna,1
Disturbia,Rihanna,0
Take A Bow,Rihanna,3
SOS,Rihanna,1
Pon de Replay,Rihanna,1
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",0
One (Your Name) - Radio Edit,"Swedish House Mafia, Pharrell Williams",0
Spaceman - Carnage Festival Trap Remix,Hardwell,2
Wizard - Radio Edit,"Martin Garrix, Jay Hardway",2
Mammoth - Original Mix,"Dimitri Vegas & Like Mike, Moguai",0
Flashing Lights - Original Mix,"Laidback Luke, D.O.D",2
Zodiac,Maddix,4
Gooo!,Live for the weekend,4
Smile - Original Mix,Joker Inc,2
Five Hours,Deorro,2
Jäätyy,Lucas,1
Sä olit oikees,Mikael Gabriel,0
Rakkauslaulu,Johanna Kurkela,3
Love Me Now,John Legend,1
Sun suulla,Malmö,3
Morsian,Lauri Tähkä,0
Milloin nään sut uudestaan?,"Robin, Kasmir",0
Lupaan olla - Radio edit,Nopsajalka,0
Eternal Flame,The Bangles,3
Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",3
I Will Always Love You,Whitney Houston,3
Tuhat yötä,"Samuli Edelmann, Sani",3
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,3
Marry You,Bruno Mars,1
Oo siellä jossain mun,PMMP,1
Hurt,Christina Aguilera,3
Mä annan sut pois,Laura Närhi,3
Tuulilasin nurkkaan,Teleks,3
Here Without You,3 Doors Down,0
