song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Heathens,Twenty One Pilots,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
Send My Love (To Your New Lover),Adele,0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068
When We Were Young,Adele,0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464
Someone Like You,Adele,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047
Set Fire to the Rain,Adele,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995
Apologize,OneRepublic,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
Onnelliseksi,Juju,0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01
I See Fire,Ed Sheeran,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031
Chasing Cars,Snow Patrol,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016
Say Something,"A Great Big World, Christina Aguilera",0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
Go Hard or Go Home,"Wiz Khalifa, Iggy Azalea",0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02
Läikkyy,Arttu Lindeman,0.669,0.846,4,-3.976,0,0.156,0.15,0.0,0.154,0.793,150.014
1972,Anssi Kela,0.542,0.644,3,-6.196,1,0.0961,0.0219,0.0,0.138,0.545,153.972
Toxic,Britney Spears,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985
Älä herätä mua unesta,Mikael Gabriel,0.656,0.675,1,-7.455,1,0.0457,0.119,0.0,0.0925,0.353,126.889
Spaceman,Aste,0.737,0.95,6,-2.522,0,0.0611,0.017,0.0,0.233,0.968,127.0
Only One,Aste,0.578,0.839,2,-3.806,1,0.0755,0.000649,0.0,0.0708,0.509,121.995
Come & Get It,Selena Gomez,0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985
Wherever I Go,OneRepublic,0.543,0.691,10,-6.403,0,0.0425,0.107,0.0,0.218,0.335,100.014
Heatwave (feat. Akon),"Robin Schulz, Akon",0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936
Hubba Bubba,"Teflon Brothers, Ressu Redford, Heavyweight",0.68,0.847,11,-6.439,1,0.0353,0.000755,0.0,0.159,0.792,136.039
I'm In Control,"AlunaGeorge, Popcaan",0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013
Arcade - Radio Edit,"Dimitri Vegas & Like Mike, W&W",0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953
She Doesn't Mind,Sean Paul,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015
Satellites - Radio Edit,"Bobby Burns, Hannah Robinson",0.535,0.829,4,-4.371,1,0.0613,0.0713,2.7e-05,0.146,0.573,127.952
Calling (Lose My Mind) - Radio Edit,"Sebastian Ingrosso, Alesso, Ryan Tedder",0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098
I Just Had Sex,"The Lonely Island, Akon",0.622,0.802,6,-4.735,1,0.119,0.0235,0.0,0.108,0.818,167.983
Angels Unite (Radio Edit),Scarlet,0.529,0.876,5,-5.649,1,0.0337,0.00102,1.92e-05,0.353,0.282,144.998
Gypsy Drop - Radio Edit,"Filip Jenven, Jonas Vogel",0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047
Bigroom Blitz - Radio Mix,"Scooter, Wiz Khalifa",0.713,0.909,3,-4.274,1,0.0306,0.00303,0.000706,0.699,0.438,132.022
Satisfied (feat. VASSY) - Original Mix,"Showtek, VASSY",0.611,0.941,0,-1.958,1,0.0491,0.00326,0.0205,0.345,0.589,128.002
Gold Skies - Original Mix,"Sander van Doorn, Martin Garrix, DVBBS, Aleesia",0.564,0.823,9,-6.316,0,0.046,0.00406,0.0716,0.684,0.221,128.018
Love Louder - Style Of Eye Remix,"John Martin, Style of Eye",0.56,0.854,1,-4.878,1,0.0669,0.00901,1.07e-06,0.506,0.274,126.001
Forbidden Voices,Martin Garrix,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102
Salsa Tequila,Anders Nilsen,0.661,0.906,6,-3.352,1,0.125,0.131,4.1e-05,0.0743,0.638,127.966
All I Ever Wanted - Radio Edit,Basshunter,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954
Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",0.544,0.87,8,-6.103,1,0.26,0.0015,2.8e-06,0.246,0.502,129.984
Trumpsta (Djuro Remix) [feat. Treyy G],"Contiez, Treyy G, Djuro",0.973,0.587,1,-7.014,1,0.242,0.00207,0.38,0.257,0.195,128.0
Moonlight Shadow,ItaloBrothers,0.577,0.952,0,-5.172,1,0.0404,0.0529,0.00603,0.31,0.808,150.02
Colours Of The Rainbow,"ItaloBrothers, Tune Up!",0.616,0.946,0,-6.392,0,0.059,0.00341,0.000188,0.168,0.744,140.045
Honey,"Evelina, Mikael Gabriel",0.68,0.633,3,-5.236,0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922
Pämppää,"Teflon Brothers, Sahamies",0.8,0.887,9,-5.038,1,0.0632,0.113,0.0,0.154,0.526,109.988
Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
If I Lose Myself,OneRepublic,0.485,0.699,2,-6.017,1,0.0479,0.096,0.0,0.109,0.242,140.096
In2,WSTRN,0.553,0.662,8,-6.454,0,0.129,0.342,0.0,0.141,0.561,98.368
Somebody to Die For,Hurts,0.426,0.599,11,-7.737,1,0.0282,0.0198,0.00142,0.366,0.102,91.995
Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",0.66,0.936,11,-3.931,1,0.0624,0.0531,2.46e-06,0.082,0.908,136.19
Don't Hold Your Breath,Nicole Scherzinger,0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955
When I Grow Up,The Pussycat Dolls,0.686,0.681,11,-5.761,0,0.0471,0.00185,0.0,0.395,0.366,118.472
I Gotta Feeling,Black Eyed Peas,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96
Halo,Beyoncé,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983
Cry Me a River,Justin Timberlake,0.624,0.653,8,-6.582,0,0.176,0.575,0.0,0.104,0.565,73.884
"You're Gonna Go Far, Kid",The Offspring,0.55,0.918,9,-3.159,0,0.0682,0.00466,0.0,0.206,0.563,126.083
So What,P!nk,0.535,0.886,11,-3.106,1,0.045,0.000304,2.26e-06,0.257,0.445,126.012
"Whenever, Wherever",Shakira,0.793,0.832,1,-4.861,0,0.0405,0.265,6.84e-06,0.207,0.865,107.647
Bleeding Love,Leona Lewis,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036
Milkshake,Kelis,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968
Stronger (What Doesn't Kill You),Kelly Clarkson,0.555,0.923,0,-5.908,1,0.0482,0.0411,0.0,0.112,0.682,116.012
Say OK,Vanessa Hudgens,0.471,0.696,7,-7.176,1,0.0468,0.00673,0.000955,0.0884,0.543,125.026
Lovesick,Emily Osment,0.611,0.715,0,-5.621,0,0.0604,0.00414,0.0,0.353,0.784,129.88
Wherever I Go,Hannah Montana,0.538,0.621,5,-3.358,1,0.027,0.0383,0.0,0.0976,0.372,79.024
I'll Always Remember You,Hannah Montana,0.418,0.721,8,-2.736,1,0.0385,0.0485,0.0,0.0986,0.234,144.06
A Year Without Rain,Selena Gomez & The Scene,0.627,0.81,2,-5.296,0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98
Beauty And A Beat,"Justin Bieber, Nicki Minaj",0.601,0.845,0,-4.711,1,0.0653,0.00116,0.0001,0.0653,0.662,127.97
International Love (feat. Chris Brown),"Pitbull, Chris Brown",0.669,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.045
Clouds (feat. A.J. McLean),"Redrama, AJ McLean",0.772,0.851,7,-4.343,1,0.09,0.0149,0.0,0.136,0.27,91.034
Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96
Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,"Snoop Dogg, David Guetta",0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005
Märkää,Petri Nygård,0.903,0.864,1,-3.763,1,0.0358,0.0212,0.0,0.511,0.961,120.06
Selvä päivä - feat. Lord Est,Petri Nygård,0.801,0.726,6,-5.567,0,0.0443,0.0412,0.0,0.317,0.49,113.979
Good Ol' Days,The Script,0.549,0.945,7,-4.351,1,0.0329,0.031,0.0,0.114,0.565,93.998
Home,"Dzeko & Torres, Alex Joseph",0.577,0.886,2,-3.033,1,0.0666,0.00562,0.0,0.111,0.616,127.957
Supersankari,Laura Närhi,0.428,0.59,1,-6.187,1,0.0404,0.102,3.39e-06,0.108,0.305,120.38
Don't Look Down (feat. Usher),"Martin Garrix, Usher",0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991
Overtime - Vicetone Remix,"Cash Cash, Vicetone",0.721,0.887,11,-3.095,0,0.166,0.00973,0.00054,0.61,0.678,125.987
Unbreakable,Benjamin,0.498,0.566,1,-7.381,1,0.0304,0.00587,0.0,0.156,0.267,141.872
Moon Boots,The Script,0.482,0.872,2,-4.813,1,0.0469,0.000518,0.0,0.0935,0.532,152.888
If You Could See Me Now,The Script,0.514,0.758,0,-6.864,1,0.074,0.00569,0.0,0.145,0.35,99.89
Everytime - Hi-Bias Radio Remix,"Britney Spears, Nick ""Fierce"" Fiorucci, Taras",0.524,0.902,0,-4.655,0,0.0315,0.00994,0.0018,0.094,0.657,128.009
Gimme More,Britney Spears,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324
E.T.,"Katy Perry, Kanye West",0.62,0.869,1,-5.252,1,0.175,0.0181,0.0,0.369,0.76,151.684
We R Who We R,Kesha,0.739,0.818,8,-5.062,1,0.0418,0.008,0.00504,0.164,0.713,119.982
The Man Who Never Lied,Maroon 5,0.63,0.842,2,-5.946,1,0.0355,0.000342,0.0,0.0711,0.826,139.943
Che Guevara,Happoradio,0.583,0.879,10,-4.171,0,0.0367,0.0745,0.0,0.187,0.46,139.943
Maps,Maroon 5,0.736,0.725,1,-5.498,0,0.029,0.0194,0.0,0.081,0.883,119.992
Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008
Written in the Stars (feat. Eric Turner),"Tinie Tempah, Eric Turner",0.656,0.931,7,-4.188,1,0.0981,0.0613,0.0,0.219,0.534,91.881
Bring Me To Life,Evanescence,0.312,0.946,4,-3.209,0,0.107,0.00749,2.93e-06,0.288,0.297,189.892
Hung Up,Madonna,0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992
It's My Life,Bon Jovi,0.546,0.931,0,-3.025,0,0.0507,0.0295,1.67e-05,0.366,0.527,120.01
I Kissed A Girl,Katy Perry,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996
About You Now,Sugababes,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499
Birds Fly (feat. Mr. Probz),"Hardwell, Mr. Probz",0.566,0.675,3,-4.602,0,0.0331,0.0611,0.0,0.642,0.11,122.553
Yellow House,Softengine,0.577,0.845,7,-6.38,0,0.0379,0.00692,0.0,0.223,0.345,115.001
Platinaa,Janne Ordén,0.633,0.695,10,-6.789,0,0.146,0.0277,0.0,0.338,0.555,165.244
Rude,MAGIC!,0.774,0.756,1,-4.995,1,0.0389,0.0423,0.0,0.305,0.931,144.032
Maradona (kesä ´86),Teflon Brothers,0.667,0.599,5,-6.827,0,0.0486,0.012,0.0,0.12,0.681,120.038
Maps,Maroon 5,0.743,0.717,1,-5.521,0,0.0299,0.0223,0.0,0.0678,0.88,120.025
Perjantai 13.,Nikke Ankara,0.526,0.84,9,-4.325,0,0.195,0.145,0.0,0.13,0.608,79.642
S&M Remix,"Rihanna, Britney Spears",0.819,0.796,1,-3.397,1,0.0546,0.0609,0.0,0.0647,0.886,127.931
Mr. Saxobeat - Radio Edit,Alexandra Stan,0.72,0.925,4,-4.165,0,0.0511,0.0276,0.000238,0.14,0.781,127.004
How to Be a Heartbreaker,MARINA,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05
We Found Love,"Rihanna, Calvin Harris",0.755,0.74,1,-4.951,1,0.0407,0.0225,0.00139,0.124,0.609,127.98
Heartbeat,"Enrique Iglesias, Nicole Scherzinger",0.568,0.892,10,-3.205,1,0.101,0.0258,0.0,0.302,0.39,129.997
I Like It,"Enrique Iglesias, Pitbull",0.647,0.943,10,-2.866,0,0.0849,0.0202,0.0,0.0607,0.707,129.006
She Looks So Perfect,5 Seconds of Summer,0.495,0.959,1,-3.712,0,0.137,0.000714,0.0,0.36,0.431,159.993
Catch My Breath,Kelly Clarkson,0.691,0.946,9,-3.221,1,0.0678,0.0259,0.0,0.0897,0.517,124.021
DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias, Wisin",0.724,0.904,8,-3.354,0,0.0966,0.0786,0.0,0.226,0.846,90.999
Into You,Ariana Grande,0.636,0.727,9,-5.852,1,0.106,0.0161,1.12e-06,0.151,0.358,107.988
Middle,"DJ Snake, Bipolar Sunshine",0.604,0.745,9,-4.103,1,0.0385,0.0161,0.0,0.0542,0.205,104.941
You Know You Like It,"DJ Snake, AlunaGeorge",0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007
"Boom (feat. MOTi, Ty Dolla $ign, Wizkid & Kranium)","Major Lazer, MOTi, Ty Dolla $ign, WizKid, Kranium",0.704,0.784,7,-4.463,0,0.142,0.00283,0.0,0.419,0.656,100.083
7/11,Beyoncé,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024
On My Mind,Ellie Goulding,0.702,0.705,0,-6.665,1,0.0543,0.258,5.93e-06,0.0879,0.743,154.909
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, Afrojack, Bebe Rexha, Nicki Minaj",0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979
Poker Face,Lady Gaga,0.848,0.828,8,-4.557,0,0.0714,0.136,1.35e-06,0.114,0.794,119.0
Stronger,Kanye West,0.625,0.726,10,-7.731,0,0.155,0.00728,0.0,0.318,0.483,103.98
Tacatà - Radio Edit,Tacabro,0.812,0.857,4,-6.034,1,0.103,0.0083,0.0,0.354,0.651,126.951
Payphone - Cutmore Remix,"Maroon 5, Wiz Khalifa",0.566,0.903,11,-4.622,1,0.139,0.000837,0.0,0.209,0.551,128.098
"Back in Time - featured in ""Men In Black 3""",Pitbull,0.731,0.915,0,-4.453,1,0.043,0.00191,1.16e-06,0.324,0.789,127.086
Back 2 Life (Live It Up) (feat. T.I.),"Sean Kingston, T.I.",0.646,0.844,5,-4.569,1,0.0455,0.0537,0.0,0.164,0.101,97.915
Anywhere in the World - Radio Edit,"Mark Ronson, Katy B",0.63,0.772,9,-6.088,0,0.0525,0.00235,0.0,0.353,0.374,119.984
Marilyn Monroe,Nicki Minaj,0.524,0.932,7,-3.538,1,0.0475,0.311,0.0,0.354,0.481,172.149
TTYLXOX,Bella Thorne,0.819,0.683,7,-6.144,1,0.156,0.00291,0.122,0.254,0.671,112.007
As Long As You Love Me,"Justin Bieber, Big Sean",0.579,0.871,0,-3.385,0,0.109,0.0679,0.0,0.353,0.601,139.841
Ready For Love,Cascada,0.667,0.994,1,-5.527,0,0.0521,0.00301,4.57e-05,0.094,0.787,142.016
Summer of Love,Cascada,0.56,0.731,8,-5.727,1,0.0481,0.00311,1.79e-05,0.201,0.519,127.962
Don't Wake Me Up,Chris Brown,0.601,0.691,10,-5.223,1,0.0474,0.0563,0.0,0.146,0.223,127.995
Sick Of You,Selena Gomez & The Scene,0.544,0.78,10,-3.811,1,0.064,0.0161,0.0,0.0351,0.466,147.958
Best Thing I Never Had,Beyoncé,0.545,0.649,6,-4.062,1,0.0324,0.143,1.57e-05,0.0894,0.297,99.099
This Is Love,"will.i.am, Eva Simons",0.54,0.809,0,-3.397,0,0.0445,0.0043,0.0,0.142,0.257,129.01
#thatPOWER,"will.i.am, Justin Bieber",0.794,0.603,6,-6.127,0,0.0615,0.00158,9.5e-05,0.0773,0.402,127.997
Without You (feat. Usher),"David Guetta, Usher",0.608,0.614,2,-3.727,1,0.0285,0.227,4.06e-06,0.157,0.402,127.884
Kill Em With Kindness,Selena Gomez,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012
The Girl (feat. Cozi Zuehlsdorff),"Hellberg, Cozi Zuehlsdorff",0.49,0.72,9,-3.797,0,0.0351,0.0691,0.0,0.121,0.428,125.993
Propaganda,DJ Snake,0.672,0.949,1,-3.016,1,0.0942,0.0024,0.543,0.64,0.235,150.109
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",0.657,0.769,9,-4.591,0,0.115,0.123,0.0,0.245,0.712,113.966
Lifetime (feat. Kyler England),"Yellow Claw, Tiësto, Kyler England",0.572,0.701,8,-5.188,1,0.0654,0.0523,1.41e-05,0.635,0.34,149.964
Machi,"Borgeous, Ryos",0.53,0.863,6,-3.069,1,0.0605,0.00193,0.0,0.0392,0.374,127.96
No Place Like Home (feat. Rosette) - Radio Edit,"Blasterjaxx, Rosette",0.658,0.793,4,-4.649,0,0.0485,0.0638,0.0177,0.18,0.344,127.97
Stressed Out,Twenty One Pilots,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
Make It Home - Radio Edit,"Mike Candys, Clyde Taylor",0.692,0.792,6,-4.599,0,0.0329,0.00889,0.606,0.47,0.431,127.989
Memories - Radio Edit,"KSHMR, Bassjackers, Sirah",0.521,0.728,8,-5.005,0,0.0501,0.0352,1.53e-05,0.783,0.32,128.07
When I Look At You,Miley Cyrus,0.448,0.561,6,-4.003,1,0.0285,0.131,0.0,0.0949,0.219,137.949
Alien,Britney Spears,0.611,0.732,0,-6.078,1,0.0314,0.262,0.00352,0.266,0.375,111.984
Unusual You,Britney Spears,0.629,0.726,0,-9.679,0,0.103,0.205,0.00506,0.103,0.473,123.974
Beautiful Pain,"Eminem, Sia",0.682,0.813,6,-4.549,0,0.443,0.0665,0.0,0.136,0.435,165.439
When I'm Gone,Eminem,0.608,0.745,10,-5.496,0,0.365,0.0551,0.0,0.27,0.725,150.068
Anna mä meen (feat. Jonne Aaron),"Cheek, Jonne Aaron",0.775,0.887,6,-4.668,0,0.0796,0.0579,0.0,0.159,0.732,99.966
Because of You,Kelly Clarkson,0.586,0.586,5,-5.314,0,0.0316,0.251,0.0,0.124,0.144,139.915
Me ei olla enää me,SANNI,0.571,0.791,5,-5.091,1,0.0323,0.00105,8.35e-05,0.0368,0.342,120.067
Just A Dream,Nelly,0.465,0.76,1,-6.117,1,0.0336,0.0407,0.0,0.126,0.106,180.136
Crying for No Reason,Katy B,0.664,0.712,1,-4.847,0,0.0343,0.393,0.000519,0.0789,0.221,111.976
Cool Kids,Echosmith,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027
A Sky Full of Stars,Coldplay,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97
The One That Got Away,Katy Perry,0.687,0.792,1,-4.023,0,0.0353,0.000802,0.0,0.2,0.864,133.962
Fix You,Coldplay,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178
Lohtu,"Live Aid Uusi Lastensairaala 2017, Cheek, Jari Sillanpää, Jenni Vartiainen, Jesse Kaikuranta, Johanna Kurkela, Jorma Uotinen, Juha Tapio, Lauri Tähkä, Lilli Paasikivi, Matti Salminen, Pekka Kuusisto, Peter Franzen, Riki Sorsa, Samu Haber, Samuli Edelmann, Tuomas Holopainen, Lauri Ylönen",0.503,0.699,9,-6.204,0,0.0284,0.0913,2.07e-05,0.173,0.36,86.047
Koska Sä Eroot,Nikke Ankara,0.663,0.852,7,-5.173,1,0.127,0.122,0.0,0.317,0.807,170.048
Päästä mut pois,"Mikael Gabriel, Diandra",0.636,0.771,9,-5.337,0,0.215,0.404,1.15e-06,0.0689,0.422,80.002
Can You See Me?,Krista Siegfrids,0.353,0.257,11,-11.396,1,0.0424,0.24,1.34e-06,0.0852,0.1,184.085
Prinsessoja & astronautteja,SANNI,0.727,0.656,1,-6.951,0,0.0503,0.028,0.00508,0.131,0.316,86.018
Broken Ones,Jacquie,0.445,0.721,11,-4.016,0,0.0471,0.0598,0.0,0.129,0.212,147.902
Mockingbird,Eminem,0.621,0.672,4,-3.892,0,0.276,0.21,0.0,0.13,0.228,83.808
Night Changes,One Direction,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001
